id,pays,prix,carburant,km,statut_vendeur_particulier,departement_2,marque_2,annee,mois,poid,id
10545604,FR,14990,Diesel,25000,0,33,peugeot,2017,5,1786,2017.Diesel
7434894,FR,22850,Diesel,62300,0,94,audi,2016,10,1102,2016.Diesel
7477772,FR,33600,Diesel,10,0,73,audi,2016,10,1102,2016.Diesel
7448424,FR,7900,Diesel,116000,0,32,peugeot,2016,10,1102,2016.Diesel
15982373,FR,3999,Diesel,170000,0,93,peugeot,2017,11,1786,2017.Diesel
9036200,FR,13990,Essence,2148,0,74,citroen,2017,2,683,2017.Essence
9038157,FR,2900,Essence,117053,0,76,citroen,2017,2,683,2017.Essence
9027116,FR,20900,Diesel,17494,0,61,citroen,2017,2,1786,2017.Diesel
9037629,FR,10890,Diesel,114300,0,76,citroen,2017,2,1786,2017.Diesel
9027495,FR,4690,Essence,83800,0,62,ford,2017,2,683,2017.Essence
8922866,FR,29990,Diesel,144000,0,45,bmw,2017,2,1786,2017.Diesel
8895324,FR,19500,Diesel,80000,0,69,jaguar,2017,2,1786,2017.Diesel
8897624,FR,8990,Essence,56000,0,77,peugeot,2017,2,683,2017.Essence
8857874,FR,9990,Diesel,44522,0,34,peugeot,2017,2,1786,2017.Diesel
11917021,FR,3000,Diesel,170000,1,93,citroen,2017,7,1786,2017.Diesel
11814485,FR,3990,Diesel,172000,1,83,mazda,2017,7,1786,2017.Diesel
11780732,FR,10500,Diesel,105000,1,60,audi,2017,7,1786,2017.Diesel
11799628,FR,21900,Diesel,30400,1,75,audi,2017,7,1786,2017.Diesel
11823677,FR,20000,Diesel,35000,1,72,audi,2017,7,1786,2017.Diesel
11828745,FR,12000,Diesel,100000,1,74,audi,2017,7,1786,2017.Diesel
11778598,FR,24500,Diesel,36500,1,26,audi,2017,7,1786,2017.Diesel
11781474,FR,17490,Diesel,62000,1,68,audi,2017,7,1786,2017.Diesel
11798490,FR,21700,Diesel,42000,1,59,audi,2017,7,1786,2017.Diesel
11799704,FR,11000,Diesel,113000,1,77,audi,2017,7,1786,2017.Diesel
11800068,FR,9700,Diesel,113500,1,92,audi,2017,7,1786,2017.Diesel
11812187,FR,12500,Diesel,135000,1,4,audi,2017,7,1786,2017.Diesel
11815157,FR,13850,Diesel,137000,1,49,audi,2017,7,1786,2017.Diesel
11815447,FR,12750,Diesel,145000,1,59,audi,2017,7,1786,2017.Diesel
11829114,FR,8000,Diesel,160000,1,70,audi,2017,7,1786,2017.Diesel
11848693,FR,8300,Diesel,163000,1,51,audi,2017,7,1786,2017.Diesel
11854633,FR,14900,Diesel,115000,1,33,audi,2017,7,1786,2017.Diesel
11855270,FR,12000,Diesel,85500,1,78,audi,2017,7,1786,2017.Diesel
11862464,FR,8500,Diesel,168000,1,30,audi,2017,7,1786,2017.Diesel
11875400,FR,28990,Diesel,35000,1,59,audi,2017,7,1786,2017.Diesel
11889489,FR,9500,Essence,140000,1,1,audi,2017,7,683,2017.Essence
11891364,FR,8500,Essence,119000,1,78,audi,2017,7,683,2017.Essence
11896309,FR,8000,Diesel,185441,1,39,audi,2017,7,1786,2017.Diesel
11903388,FR,9000,Diesel,105000,1,10,audi,2017,7,1786,2017.Diesel
11914432,FR,5400,Diesel,182000,1,30,audi,2017,7,1786,2017.Diesel
11917266,FR,24500,Essence,44000,1,95,audi,2017,7,683,2017.Essence
11806191,FR,20900,Diesel,52000,1,33,audi,2017,7,1786,2017.Diesel
11854101,FR,10300,Diesel,138000,1,44,audi,2017,7,1786,2017.Diesel
11871449,FR,6900,Diesel,192000,1,67,audi,2017,7,1786,2017.Diesel
11916194,FR,7500,Diesel,150000,1,69,audi,2017,7,1786,2017.Diesel
11806922,FR,18000,Diesel,182000,1,77,audi,2017,7,1786,2017.Diesel
11885238,FR,19500,Diesel,93000,1,63,audi,2017,7,1786,2017.Diesel
11907803,FR,21900,Diesel,99650,1,69,audi,2017,7,1786,2017.Diesel
11924314,FR,15900,Diesel,117000,1,68,audi,2017,7,1786,2017.Diesel
17330371,FR,24700,Diesel,26000,1,91,volkswagen,2018,1,424,2018.Diesel
17336423,FR,16500,Essence,96500,1,15,volkswagen,2018,1,155,2018.Essence
17339617,FR,15490,Diesel,130000,1,31,volkswagen,2018,1,424,2018.Diesel
17340852,FR,18480,Essence,6600,0,84,volkswagen,2018,1,155,2018.Essence
17360057,FR,6400,Diesel,131000,1,57,volkswagen,2018,1,424,2018.Diesel
17360398,FR,7400,Diesel,110000,1,83,volkswagen,2018,1,424,2018.Diesel
17361831,FR,7000,Diesel,139000,1,83,volkswagen,2018,1,424,2018.Diesel
17366475,FR,3500,Diesel,190000,1,57,volkswagen,2018,1,424,2018.Diesel
17379743,FR,8800,Diesel,149900,1,59,volkswagen,2018,1,424,2018.Diesel
17385053,FR,4999,Essence,150000,1,60,volkswagen,2018,1,155,2018.Essence
17390812,FR,18500,Diesel,16000,1,42,volkswagen,2018,1,424,2018.Diesel
17419040,FR,14500,Diesel,60000,1,76,volkswagen,2018,1,424,2018.Diesel
17217323,FR,3600,Diesel,137991,1,47,fiat,2018,1,424,2018.Diesel
17280235,FR,14000,Diesel,70000,1,33,hyundai,2018,1,424,2018.Diesel
17313792,FR,14690,Essence,92732,0,44,hyundai,2018,1,155,2018.Essence
17411310,FR,16000,Diesel,68000,1,14,hyundai,2018,1,424,2018.Diesel
7402309,FR,16500,Diesel,95000,1,63,bmw,2016,10,1102,2016.Diesel
7403242,FR,9500,Diesel,120,1,83,bmw,2016,10,1102,2016.Diesel
7418106,FR,12500,Diesel,125000,1,60,bmw,2016,10,1102,2016.Diesel
7437319,FR,8500,Diesel,130000,1,60,bmw,2016,10,1102,2016.Diesel
7484212,FR,19500,Diesel,76000,1,63,bmw,2016,10,1102,2016.Diesel
7489146,FR,22800,Diesel,69200,1,91,bmw,2016,10,1102,2016.Diesel
7496183,FR,21000,Diesel,25000,1,83,bmw,2016,10,1102,2016.Diesel
7363071,FR,9500,Essence,157000,1,11,bmw,2016,10,225,2016.Essence
7381539,FR,15900,Diesel,121000,1,51,bmw,2016,10,1102,2016.Diesel
7428361,FR,6500,Essence,80000,1,70,bmw,2016,10,225,2016.Essence
7490763,FR,24000,Diesel,71000,1,59,bmw,2016,10,1102,2016.Diesel
7495427,FR,12000,Diesel,112000,1,56,bmw,2016,10,1102,2016.Diesel
7501250,FR,18250,Diesel,119000,1,68,bmw,2016,10,1102,2016.Diesel
7437706,FR,48500,Diesel,66000,1,69,bmw,2016,10,1102,2016.Diesel
7451487,FR,22500,Diesel,111200,1,62,bmw,2016,10,1102,2016.Diesel
7490108,FR,20000,Diesel,124500,1,59,bmw,2016,10,1102,2016.Diesel
7418482,FR,3150,Essence,161000,1,12,citroen,2016,10,225,2016.Essence
7427072,FR,19200,Essence,30000,1,75,mercedes,2016,10,225,2016.Essence
7430368,FR,19000,Essence,41000,1,1,mercedes,2016,10,225,2016.Essence
7446655,FR,43000,Essence,31500,1,74,mercedes,2016,10,225,2016.Essence
7480420,FR,33500,Diesel,35000,1,42,mercedes,2016,10,1102,2016.Diesel
7412845,FR,6900,Diesel,170000,1,59,mercedes,2016,10,1102,2016.Diesel
7494046,FR,10500,Diesel,120000,1,45,mercedes,2016,10,1102,2016.Diesel
7456626,FR,30000,Diesel,39135,1,94,mercedes,2016,10,1102,2016.Diesel
7472231,FR,15800,Diesel,125000,1,69,mercedes,2016,10,1102,2016.Diesel
7490567,FR,24500,Diesel,97000,1,59,mercedes,2016,10,1102,2016.Diesel
7495921,FR,20900,Diesel,82000,1,51,mercedes,2016,10,1102,2016.Diesel
7366516,FR,37900,Diesel,69500,1,51,mercedes,2016,10,1102,2016.Diesel
7440606,FR,16800,Essence,125000,1,67,mercedes,2016,10,225,2016.Essence
