carburant,annee,poid
diesel,2015,955149
electrique,2015,1712
essence,2015,259984
hybride,2015,152
diesel,2017,20074
electrique,2017,73
essence,2017,8789
hybride,2017,167
diesel,2018,2841790
electrique,2018,5391
hybride,2018,22190
essence,2018,1035655
diesel,2019,1084183
electrique,2019,2884
essence,2019,413876
hybride,2019,10784
